cam.id,country,state,lat,lon,altitude.m,bam.depth.mean.wg.mapq20,species.id.pcangsd.admix.10.90,pcangsd.admix.prop.zea,pcangsd.admix.prop.arm,sex.depth.genital.consensous
CAM047205,Brazil,Bahia,-12.184028,-45.798056,NA,3.14,arm,0.00337412,0.99662596,male
CAM047206,Brazil,Bahia,-12.184028,-45.798056,NA,5.82,arm,0.005305545,0.994694471,male
CAM047207,Brazil,Bahia,-12.184028,-45.798056,NA,1.22,arm,0.00495887,0.995041132,female
CAM047208,Brazil,Bahia,-12.184028,-45.798056,NA,0.41,arm,0.00708962,0.992910385,cant.be.det
CAM047209,Brazil,Bahia,-12.184028,-45.798056,NA,6.39,arm,1E-04,0.999899983,male
CAM047210,Brazil,Bahia,-12.184028,-45.798056,NA,4.88,arm,0.000966958,0.999033034,male
CAM047211,Brazil,Bahia,-12.184028,-45.798056,NA,0.12,arm,0.020267472,0.979732573,cant.be.det
CAM047212,Brazil,Bahia,-12.184028,-45.798056,NA,4.94,arm,1E-04,0.999899983,male
CAM047213,Brazil,Bahia,-12.363333,-45.828056,NA,4.39,arm,0.00800039,0.991999626,female
CAM047214,Brazil,Bahia,-12.363333,-45.828056,NA,1.3,arm,0.011728455,0.988271534,male
CAM047215,Brazil,Bahia,-12.363333,-45.828056,NA,4.97,arm,0.000174752,0.999825239,female
CAM047216,Brazil,Bahia,-12.363333,-45.828056,NA,6,arm,1E-04,0.999899983,female
CAM047217,Brazil,Bahia,-12.363333,-45.828056,NA,1.69,arm,1E-04,0.999899983,female
CAM047218,Brazil,Bahia,-12.363333,-45.828056,NA,3.74,arm,1E-04,0.999899983,male
CAM047219,Brazil,Bahia,-12.363333,-45.828056,NA,3.71,arm,0.015529736,0.984470308,male
CAM047220,Brazil,Bahia,-11.691111,-46.004722,NA,5.42,zea,0.999899983,1E-04,male
CAM047221,Brazil,Bahia,-11.691111,-46.004722,NA,6.26,zea,0.999899983,1E-04,male
CAM047222,Brazil,Bahia,-11.691111,-46.004722,NA,5.82,zea,0.999899983,1E-04,female
CAM047223,Brazil,Bahia,-11.691111,-46.004722,NA,5.83,zea,0.999899983,1E-04,male
CAM047224,Brazil,Bahia,-11.691111,-46.004722,NA,6.2,arm,0.009049067,0.990950882,male
CAM047225,Brazil,Bahia,-11.691111,-46.004722,NA,4.98,arm,0.004216505,0.995783448,male
CAM047226,Brazil,Bahia,-11.691111,-46.004722,NA,6.99,arm,0.003832302,0.996167719,female
CAM047227,Brazil,Bahia,-11.691111,-46.004722,NA,6.5,arm,0.008649393,0.991350591,female
CAM047228,Brazil,Bahia,-11.691111,-46.004722,NA,5.18,arm,0.007976827,0.99202317,male
CAM047229,Brazil,Bahia,-11.691111,-46.004722,NA,0.05,hyb,0.161476493,0.838523507,cant.be.det
CAM047230,Brazil,Bahia,-11.691111,-46.004722,NA,6.42,arm,1E-04,0.999899983,male
CAM047231,Brazil,Bahia,-11.691111,-46.004722,NA,2.45,arm,0.009332878,0.990667164,male
CAM047232,Brazil,Bahia,-11.691111,-46.004722,NA,3.98,arm,0.008623984,0.991375983,male
CAM047233,Brazil,Bahia,-11.691111,-46.004722,NA,8.13,arm,1E-04,0.999899983,female
CAM047234,Brazil,Bahia,-11.691111,-46.004722,NA,0.09,arm,0.047551639,0.952448368,cant.be.det
CAM047235,Brazil,Bahia,-13.4321697,-45.4146702,NA,5.56,arm,0.005712486,0.99428755,male
CAM047237,Brazil,Bahia,-13.4321697,-45.4146702,NA,6.04,arm,0.001320152,0.998679817,male
CAM047268,Brazil,Mato Grosso,-15.527778,-54.345833,NA,2.46,arm,1E-04,0.999899983,male
CAM047270,Brazil,Mato Grosso,-15.527778,-54.345833,NA,4.41,arm,0.001826279,0.998173714,female
CAM047271,Brazil,Mato Grosso,-15.527778,-54.345833,NA,3.11,arm,1E-04,0.999899983,male
CAM047272,Brazil,Mato Grosso,-15.527778,-54.345833,NA,0.36,arm,0.003592314,0.996407688,cant.be.det
CAM047273,Brazil,Mato Grosso,-15.527778,-54.345833,NA,4.45,arm,1E-04,0.999899983,male
CAM047274,Brazil,Mato Grosso,-15.527778,-54.345833,NA,4.54,arm,0.002013166,0.997986853,male
CAM047275,Brazil,Mato Grosso,-15.527778,-54.345833,NA,1.43,arm,0.003562771,0.996437192,female
