CamID,Source.sheet,Year,Locality/Population,Lat,Lon,sex.by.median.norm.depth.chr1.highest.depth.sample,sex.depth.genital.consensous
CAM047111,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047112,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047113,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047114,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047115,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047116,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047117,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047118,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047119,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047120,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047121,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047122,Mastersheet,2018,MS11,-17.2,-52.66777778,cant.be.det,0
CAM047123,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047124,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047125,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047126,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047127,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047128,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047129,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047130,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047131,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047132,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047133,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047134,batch2 - all,2018,MS11,-17.2,-52.66777778,,
CAM047135,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047136,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047137,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047138,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047139,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047140,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047141,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047142,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047143,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047144,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047145,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047146,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047147,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047148,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047149,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047150,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047151,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047152,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047153,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047154,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047155,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047156,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047157,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047158,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047159,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
CAM047160,batch2 - all,2015,PR5,-22.33055556,-45.79805556,,
